City,State,Housing type,Project,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
Nashville,TN,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",1.21,0.96,1.46,0.96–1.46,0.14,0.09,0.2,0.09–0.2,33
Colorado Springs,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",1.2,1.05,1.34,1.05–1.34,0.12,0.08,0.16,0.08–0.16,34
Fort Worth,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",1.13,1.02,1.24,1.02–1.24,0.12,0.09,0.15,0.09–0.15,35
Baton Rouge,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",1.13,0.95,1.3,0.95–1.3,0.32,0.23,0.4,0.23–0.4,36
Denver,CO,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",1.08,0.98,1.19,0.98–1.19,0.2,0.12,0.28,0.12–0.28,37
Orlando,FL,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",1.07,0.96,1.19,0.96–1.19,0.24,0.18,0.31,0.18–0.31,38
New Orleans,LA,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",1.06,0.92,1.2,0.92–1.2,0.16,0.12,0.19,0.12–0.19,39
El Paso,TX,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",0.82,0.67,0.98,0.67–0.98,0.12,0.05,0.19,0.05–0.19,40
Oklahoma City,OK,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",0.76,0.68,0.85,0.68–0.85,0.05,0.03,0.07,0.03–0.07,41
Wilmington,NC,Duplex/triplex,"2 units, 800 sq. ft. each",2,800,"4,000/sq. mi.","$80,000",0.52,0.49,0.55,0.49–0.55,0,0,0,0–0,42
San Francisco,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",4.82,4,5.63,4–5.63,1.89,1.43,2.36,1.43–2.36,1
Jersey City,NJ,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",3.88,2.27,5.49,2.27–5.49,0.34,0.14,0.54,0.14–0.54,2
Miami,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",3.68,3.06,4.3,3.06–4.3,1.35,1.09,1.6,1.09–1.6,3
Tulsa,OK,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",3.22,2.49,3.95,2.49–3.95,0.92,0.72,1.12,0.72–1.12,4
Phoenix,AZ,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",3.11,2.9,3.32,2.9–3.32,1.33,1.18,1.48,1.18–1.48,5
Oakland,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",3.01,2.51,3.51,2.51–3.51,0.49,0.38,0.61,0.38–0.61,6
Philadelphia,PA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.99,2.74,3.23,2.74–3.23,0.21,0.19,0.24,0.19–0.24,7
Washington,DC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.92,2.38,3.45,2.38–3.45,0.92,0.68,1.16,0.68–1.16,8
New York,NY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.9,2.81,2.98,2.81–2.98,0.81,0.77,0.85,0.77–0.85,9
Los Angeles,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.58,2.42,2.74,2.42–2.74,0.91,0.83,0.99,0.83–0.99,10
Boston,MA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.53,2.27,2.79,2.27–2.79,1.1,0.91,1.29,0.91–1.29,11
Honolulu,HI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.5,2.31,2.7,2.31–2.7,0.96,0.86,1.07,0.86–1.07,12
Fort Lauderdale,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.48,2.06,2.91,2.06–2.91,0.94,0.71,1.17,0.71–1.17,13
Seattle,WA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.39,2.28,2.5,2.28–2.5,0.72,0.67,0.76,0.67–0.76,14
Cleveland,OH,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.34,1.68,2.99,1.68–2.99,0.63,0.41,0.86,0.41–0.86,15
Boise,ID,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.18,1.24,3.11,1.24–3.11,0.44,0.22,0.66,0.22–0.66,16
San Diego,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",2.01,1.81,2.2,1.81–2.2,0.6,0.51,0.7,0.51–0.7,17
Louisville,KY,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.97,1.35,2.59,1.35–2.59,0.23,0.11,0.36,0.11–0.36,18
Jacksonville,FL,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.88,1.66,2.11,1.66–2.11,0.48,0.38,0.58,0.38–0.58,19
Albuquerque,NM,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.84,1.17,2.52,1.17–2.52,0.21,0.1,0.32,0.1–0.32,20
Houston,TX,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.82,1.56,2.07,1.56–2.07,0.28,0.2,0.36,0.2–0.36,21
Providence,RI,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.8,1.36,2.25,1.36–2.25,0.1,0.05,0.14,0.05–0.14,22
Boulder,CO,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.69,1.44,1.94,1.44–1.94,0.71,0.46,0.96,0.46–0.96,23
Sacramento,CA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.67,1.44,1.89,1.44–1.89,0.37,0.25,0.48,0.25–0.48,24
Portland,OR,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.6,1.53,1.67,1.53–1.67,0.58,0.53,0.62,0.53–0.62,25
Durham,NC,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.58,1.21,1.95,1.21–1.95,0.2,0.15,0.25,0.15–0.25,26
Atlanta,GA,Duplex/triplex,"2 units, 1,200 sq. ft. each",2,1200,"4,000/sq. mi.","$80,000",1.53,1.36,1.69,1.36–1.69,0.38,0.28,0.47,0.28–0.47,27
